Category: All categories

Month,Super Smash Bros. for Nintendo 3DS and Wii U: (United States)
2004-01,1
2004-02,1
2004-03,1
2004-04,<1
2004-05,1
2004-06,2
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,2
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,2
2005-06,2
2005-07,2
2005-08,1
2005-09,1
2005-10,2
2005-11,1
2005-12,2
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,5
2006-06,3
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,2
2007-07,2
2007-08,1
2007-09,1
2007-10,2
2007-11,2
2007-12,2
2008-01,2
2008-02,3
2008-03,6
2008-04,2
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,2
2008-10,1
2008-11,1
2008-12,2
2009-01,2
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,2
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,2
2010-01,2
2010-02,1
2010-03,1
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,2
2011-02,2
2011-03,1
2011-04,2
2011-05,2
2011-06,6
2011-07,3
2011-08,3
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,3
2012-02,2
2012-03,3
2012-04,2
2012-05,3
2012-06,4
2012-07,4
2012-08,4
2012-09,4
2012-10,3
2012-11,4
2012-12,5
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,5
2013-06,32
2013-07,15
2013-08,13
2013-09,11
2013-10,13
2013-11,13
2013-12,18
2014-01,18
2014-02,20
2014-03,19
2014-04,31
2014-05,23
2014-06,38
2014-07,32
2014-08,36
2014-09,76
2014-10,100
2014-11,85
2014-12,67
2015-01,41
2015-02,31
2015-03,29
2015-04,36
2015-05,23
2015-06,30
2015-07,25
2015-08,21
2015-09,19
2015-10,18
2015-11,20
2015-12,26
2016-01,18
2016-02,17
2016-03,13
2016-04,11
2016-05,11
2016-06,11
2016-07,11
2016-08,9
2016-09,8
2016-10,7
2016-11,8
2016-12,9
2017-01,7
2017-02,7
2017-03,7
2017-04,7
2017-05,6
2017-06,6
2017-07,7
2017-08,6
2017-09,5
2017-10,4
2017-11,5
2017-12,6
2018-01,5
2018-02,4
2018-03,7
2018-04,4
2018-05,4
2018-06,7
2018-07,6
