Category: All categories

Month,Super Smash Bros. Melee: (United States)
2004-01,92
2004-02,63
2004-03,62
2004-04,44
2004-05,67
2004-06,79
2004-07,79
2004-08,80
2004-09,45
2004-10,38
2004-11,54
2004-12,63
2005-01,53
2005-02,62
2005-03,45
2005-04,49
2005-05,52
2005-06,70
2005-07,72
2005-08,83
2005-09,57
2005-10,57
2005-11,66
2005-12,71
2006-01,58
2006-02,54
2006-03,62
2006-04,58
2006-05,73
2006-06,100
2006-07,96
2006-08,84
2006-09,66
2006-10,64
2006-11,65
2006-12,71
2007-01,57
2007-02,62
2007-03,58
2007-04,56
2007-05,54
2007-06,87
2007-07,86
2007-08,88
2007-09,76
2007-10,70
2007-11,65
2007-12,71
2008-01,66
2008-02,85
2008-03,93
2008-04,56
2008-05,37
2008-06,43
2008-07,40
2008-08,34
2008-09,27
2008-10,28
2008-11,28
2008-12,28
2009-01,30
2009-02,26
2009-03,28
2009-04,26
2009-05,28
2009-06,32
2009-07,39
2009-08,32
2009-09,26
2009-10,25
2009-11,28
2009-12,29
2010-01,26
2010-02,26
2010-03,23
2010-04,22
2010-05,22
2010-06,27
2010-07,33
2010-08,29
2010-09,23
2010-10,19
2010-11,21
2010-12,24
2011-01,22
2011-02,24
2011-03,20
2011-04,22
2011-05,24
2011-06,30
2011-07,29
2011-08,30
2011-09,23
2011-10,23
2011-11,21
2011-12,24
2012-01,21
2012-02,20
2012-03,20
2012-04,24
2012-05,21
2012-06,28
2012-07,27
2012-08,25
2012-09,22
2012-10,20
2012-11,20
2012-12,22
2013-01,24
2013-02,23
2013-03,23
2013-04,22
2013-05,23
2013-06,32
2013-07,42
2013-08,29
2013-09,25
2013-10,25
2013-11,29
2013-12,34
2014-01,36
2014-02,33
2014-03,37
2014-04,39
2014-05,39
2014-06,48
2014-07,57
2014-08,48
2014-09,45
2014-10,45
2014-11,50
2014-12,53
2015-01,54
2015-02,59
2015-03,47
2015-04,53
2015-05,50
2015-06,51
2015-07,70
2015-08,55
2015-09,54
2015-10,56
2015-11,48
2015-12,53
2016-01,64
2016-02,49
2016-03,46
2016-04,50
2016-05,51
2016-06,47
2016-07,56
2016-08,41
2016-09,37
2016-10,41
2016-11,42
2016-12,48
2017-01,47
2017-02,40
2017-03,40
2017-04,48
2017-05,37
2017-06,36
2017-07,43
2017-08,37
2017-09,34
2017-10,35
2017-11,34
2017-12,32
2018-01,33
2018-02,28
2018-03,29
2018-04,27
2018-05,30
2018-06,37
2018-07,34
