Category: All categories

City,Super Smash Bros. Brawl: (1/1/04 - 7/17/18)
Rancho Santa Margarita,
Elmhurst,
Pleasanton,84
Richardson,71
Irvine,70
Reston,69
Mount Laurel,
Newark,64
Stockton,
Kansas City,
Salt Lake City,47
Las Vegas,47
Rochester,
Ashburn,
Herndon,
Littleton,
Albany,
Tampa,40
Norfolk,
Providence,
Riverside,
Spokane,
Jackson,
Gainesville,
Sacramento,38
Miami,37
Boise,
Orlando,36
Bakersfield,
Cincinnati,34
Cleveland,
St. Louis,33
San Diego,33
Phoenix,33
Louisville,
Honolulu,
Los Angeles,32
Colorado Springs,
Fresno,
Richmond,
El Paso,
Raleigh,
Portland,30
Seattle,29
Oklahoma City,
Minneapolis,29
Baton Rouge,
Tucson,
Philadelphia,27
Jacksonville,
Baltimore,
San Francisco,26
Atlanta,25
San Antonio,25
Pittsburgh,
Indianapolis,
Fort Worth,
Columbus,24
New Orleans,
Albuquerque,
San Jose,
Washington,23
Omaha,
Kansas City,
Houston,23
Detroit,
Madison,
Sterling,
Denver,22
Boston,21
Milwaukee,
Chicago,21
Austin,21
Dallas,20
New York,20
Milpitas,19
Charlotte,18
Nashville,
Plano,
