Category: All categories

Month,Super Smash Bros. Melee: (Worldwide)
2004-01,100
2004-02,71
2004-03,67
2004-04,63
2004-05,66
2004-06,72
2004-07,70
2004-08,76
2004-09,48
2004-10,44
2004-11,53
2004-12,61
2005-01,58
2005-02,61
2005-03,54
2005-04,53
2005-05,51
2005-06,60
2005-07,74
2005-08,82
2005-09,56
2005-10,57
2005-11,55
2005-12,70
2006-01,56
2006-02,53
2006-03,55
2006-04,61
2006-05,67
2006-06,74
2006-07,83
2006-08,74
2006-09,57
2006-10,56
2006-11,52
2006-12,63
2007-01,51
2007-02,52
2007-03,49
2007-04,50
2007-05,49
2007-06,67
2007-07,77
2007-08,72
2007-09,58
2007-10,62
2007-11,53
2007-12,62
2008-01,62
2008-02,71
2008-03,70
2008-04,43
2008-05,36
2008-06,45
2008-07,44
2008-08,36
2008-09,28
2008-10,27
2008-11,27
2008-12,28
2009-01,26
2009-02,23
2009-03,24
2009-04,25
2009-05,24
2009-06,26
2009-07,29
2009-08,28
2009-09,25
2009-10,21
2009-11,22
2009-12,25
2010-01,21
2010-02,21
2010-03,20
2010-04,20
2010-05,21
2010-06,23
2010-07,29
2010-08,26
2010-09,21
2010-10,20
2010-11,18
2010-12,21
2011-01,20
2011-02,19
2011-03,16
2011-04,18
2011-05,18
2011-06,21
2011-07,23
2011-08,23
2011-09,16
2011-10,17
2011-11,15
2011-12,19
2012-01,17
2012-02,16
2012-03,17
2012-04,18
2012-05,17
2012-06,20
2012-07,20
2012-08,20
2012-09,18
2012-10,16
2012-11,16
2012-12,17
2013-01,16
2013-02,16
2013-03,17
2013-04,16
2013-05,17
2013-06,21
2013-07,27
2013-08,20
2013-09,16
2013-10,16
2013-11,19
2013-12,22
2014-01,22
2014-02,19
2014-03,22
2014-04,25
2014-05,24
2014-06,28
2014-07,33
2014-08,29
2014-09,28
2014-10,27
2014-11,28
2014-12,33
2015-01,31
2015-02,33
2015-03,27
2015-04,28
2015-05,28
2015-06,27
2015-07,37
2015-08,31
2015-09,28
2015-10,30
2015-11,27
2015-12,30
2016-01,33
2016-02,27
2016-03,26
2016-04,26
2016-05,27
2016-06,25
2016-07,29
2016-08,22
2016-09,20
2016-10,22
2016-11,22
2016-12,26
2017-01,27
2017-02,22
2017-03,23
2017-04,24
2017-05,21
2017-06,20
2017-07,23
2017-08,20
2017-09,19
2017-10,19
2017-11,17
2017-12,17
2018-01,17
2018-02,16
2018-03,17
2018-04,16
